"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013876","33.56556","-86.745","187.5","2000-04-12","0.58","0.0","0.0","60","66","54","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-13","0.01","0.0","0.0","58","63","53","0.0","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-14","0.47","0.0","0.0","53","57","48","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-15","0.00","0.0","0.0","61","69","53","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-16","0.00","0.0","0.0","64","79","49","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-17","0.00","0.0","0.0","62","75","49","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-18","0.00","0.0","0.0","59","73","44","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-19","0.00","0.0","0.0","65","83","47","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-20","0.15","0.0","0.0","72","80","64","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-21","0.00","0.0","0.0","56","64","47","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-22","0.00","0.0","0.0","56","72","40","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-23","0.15","0.0","0.0","58","68","48","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-24","0.10","0.0","0.0","63","73","53","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-25","0.01","0.0","0.0","60","71","48","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-26","0.00","0.0","0.0","58","73","42","0.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-27","0.54","0.0","0.0","59","74","43","0.0","    1",,"    1",,"    1",,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-28","0.00","0.0","0.0","58","66","49","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-29","0.00","0.0","0.0","61","76","45","0.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-30","0.00","0.0","0.0","64","79","48","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-01","0.00","0.0","0.0","67","80","53","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-02","0.00","0.0","0.0","72","80","64","0.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-03","0.02","0.0","0.0","74","84","63","0.0","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-04","0.00","0.0","0.0","75","84","66","0.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-05","0.00","0.0","0.0","75","84","66","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-06","0.00","0.0","0.0","74","85","63","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-07","0.00","0.0","0.0","75","86","63","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-08","0.00","0.0","0.0","77","86","68","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-09","0.00","0.0","0.0","76","85","67","0.0",,,,,,,,"    1",,,,,,,,,,,,,
